RSI,MACD
"{'RSI': {'HIGH': 1, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 1, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 1, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 1, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 1, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 1, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 1, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 1, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 1, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 50, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 50, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 75, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 75, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 1}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 50}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 75}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'True', 'Death Cross': 'False'}}"
"{'RSI': {'HIGH': 25, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'True'}}"
"{'RSI': {'HIGH': 25, 'LOW': 25}}","{'MACD': {'GOLDEN CROSS': 'False', 'Death Cross': 'False'}}"
